split,fname,original_shape,mask_area,mask_bbox,slice_ratio
train,hepaticvessel_001_6_CT_liver_tumor.png,"(512, 512)",388,"(722, 574, 21, 21)",6
train,hepaticvessel_001_7_CT_liver_tumor.png,"(512, 512)",568,"(710, 574, 25, 27)",10
train,hepaticvessel_001_8_CT_liver_tumor.png,"(512, 512)",476,"(702, 576, 25, 21)",8
train,hepaticvessel_001_9_CT_liver_tumor.png,"(512, 512)",368,"(698, 574, 21, 23)",6
train,hepaticvessel_001_10_CT_liver_tumor.png,"(512, 512)",312,"(690, 576, 21, 17)",5
train,hepaticvessel_001_18_CT_liver_vessel.png,"(512, 512)",844,"(680, 448, 71, 213)",1
train,hepaticvessel_001_19_CT_liver_vessel.png,"(512, 512)",696,"(638, 462, 105, 203)",1
train,hepaticvessel_001_20_CT_liver_vessel.png,"(512, 512)",692,"(632, 464, 107, 223)",1
train,hepaticvessel_001_21_CT_liver_vessel.png,"(512, 512)",1196,"(606, 404, 129, 309)",2
train,hepaticvessel_001_22_CT_liver_vessel.png,"(512, 512)",840,"(564, 408, 169, 315)",1
train,hepaticvessel_001_23_CT_liver_vessel.png,"(512, 512)",984,"(560, 410, 181, 315)",2
train,hepaticvessel_001_24_CT_liver_vessel.png,"(512, 512)",924,"(560, 410, 181, 305)",2
train,hepaticvessel_001_25_CT_liver_vessel.png,"(512, 512)",660,"(560, 460, 165, 247)",1
train,hepaticvessel_001_26_CT_liver_vessel.png,"(512, 512)",1064,"(560, 458, 181, 245)",2
train,hepaticvessel_001_27_CT_liver_vessel.png,"(512, 512)",3712,"(558, 386, 191, 311)",8
train,hepaticvessel_001_28_CT_liver_vessel.png,"(512, 512)",4472,"(560, 388, 187, 305)",10
train,hepaticvessel_001_29_CT_liver_vessel.png,"(512, 512)",3572,"(558, 388, 207, 307)",7
train,hepaticvessel_001_30_CT_liver_vessel.png,"(512, 512)",3836,"(554, 384, 211, 313)",8
train,hepaticvessel_001_31_CT_liver_vessel.png,"(512, 512)",2952,"(550, 420, 207, 277)",6
train,hepaticvessel_001_32_CT_liver_vessel.png,"(512, 512)",1364,"(544, 432, 197, 265)",3
train,hepaticvessel_001_33_CT_liver_vessel.png,"(512, 512)",1088,"(530, 428, 219, 267)",2
